#a	以
#a	以后
#a	以前
#aa	碍
#aa	鹌
*aabx	皑皑白雪
*ahmi	哀鸣
*ahqc	爱恨情仇
*ahqd	哀泣
*ahqf	哀求
*ahqs	哀切
*ahqx	阿合奇县
*ahrb	安徽日报
*ahre	哀荣
*ahsj	哀伤
*ahso	哀思
*ahth	哀痛
*ahti	哀叹
*ahtn	哀恸
*ahuc	爱恨情仇
*ahud	哀泣
*ahuf	哀求
*ahus	哀切
*ahux	阿合奇县
#ahw	哀
#ahwk	哀
*ahws	哀婉
*ahxb	癌细胞
*ahxn	癌性
*ahxx	爱好学习
*ahy	哀乐
#ahy	鏖
*ahyd	爱好运动
*ahyg	哀艳
ahyw	哀乐
*ahyw	哀怨
#ahyy	鏖
*ahzf	哀哉
*ahzh	癌症
*ahzv	癌肿
*ahzy	鏖战
#ai	啊
#ai	唉
#ai	AI
#aia	嚣
*aiai	嗷嗷
aiai	嚣
*aiaj	嗷嗷叫
#aiao	唵
#aiao	嗄
#aiaw	嗄
*aibc	安置补偿
*aibd	艾滋病毒
#aic	呆
#aicc	呆
*aicg	按照常规
*aics	安装次数
*aict	按照传统
*aidc	暗中调查
*aids	按制度办事
*aidy	暗自得意
#aie	哎
#aiem	哎
#aif	呵
*aiff	安知非福
*aifh	嗳腐
#aifi	呵
*aifm	爱憎分明
*aifx	按照法律程序
#aig	嗷
*aigc	暗中观察
*aigl	按照国际惯例
#aigt	嗷
*aihi	啊哈
*aiid	爱咋咋的
#ail	唉
*ailj	按质论价
#ailt	唉
#aim	嗳
#aima	嗳
#aimi	吖
#aimo	嗌
*aims	暗中摸索
*aipb	按资排辈
*aips	暗中盘算
*aiqt	嗳气
*airs	安之若素
*aisq	爱之深，恨之切
*aisq	爱之深，痛之切
*aisq	爱之深，责之切
*aisu	爱之深，恨之切
*aisu	爱之深，痛之切
*aisu	爱之深，责之切
*aitk	阿兹特克
*aiut	嗳气
#aiv	啊
#aivf	啊
*aiwq	癌症晚期
*aiwu	癌症晚期
*aiwy	安枕无忧
*aixi	暗中相助
*aiy	哎哟
*aiy	唉呀
*aiyi	哎呀
aiyi	哎哟
aiyi	唉呀
*aiyw	哎哟喂
#aj	俺
#aj	傲
#aja	俺
*ajah	挨家挨户
ajao	俺
*ajao	傲岸
*ajdk	按揭贷款
*ajdr	俺的
#ajg	傲
*ajgc	安居工程
*ajgo	傲骨
#ajgt	傲
*ajht	按揭合同
*ajih	挨家逐户
*ajjn	俺家
*ajlh	安家落户
*ajll	按揭利率
*ajlx	按揭利息
*ajly	安家立业
*ajly	安居乐业
*ajmd	阿基米德
*ajmj	俺们
*ajmn	傲慢
*ajnf	暗箭难防
#ajo	盦
#ajod	盦
*ajqt	傲气
*ajqx	按经取穴
*ajrj	傲人
*ajrs	安静入睡
*ajrv	傲然
*ajrw	傲然
*ajsf	傲世
*ajsl	傲视
*ajsr	暗箭伤人
*ajsx	按揭手续
*ajut	傲气
*ajux	按经取穴
*ajwt	傲物
*ajxt	暗礁险滩
*ajzh	挨家逐户
#ak	挨
#ak	按
#aka	捱
#akau	捱
*akbh	按部
*akbn	挨边
*akbr	按兵
*akbz	挨边
*akch	挨次
*akcy	按此
*akd	挨斗
*akdg	按动
*akdh	挨冻
*akdj	按倒
*akdk	挨打
*akdm	拗断
*akdn	挨刀
akdn	挨斗
*akds	挨到
*akdy	按钉
*akdz	挨刀
*akew	挨饿
*akfo	挨罚
*akge	挨个儿
*akgf	挨过
*akgj	挨个
#akh	揞
*akhl	挨户
*akho	按回
#akhr	揞
*akia	按在
*akif	挨整
*akih	按章
*akij	按住
*akik	挨揍
*akim	挨着
*akin	挨宰
*akiq	按质
*akir	按照
*akjd	挨浇
*akjj	按件
*akjk	按揭
*akjn	挨家
*akjq	挨近
*akjs	按键式
*akjt	按季
*akjx	按级
*akjy	按键
*akkf	挨剋
*akkg	拗开
*akki	拗口
*akkk	按扣
*akkl	拗口令
#akl	挨
*akle	按劳
*aklg	按理
*akli	阿喀琉斯之踵
*aklj	按例
*aklm	奥克拉荷马
*aklo	挨累
*aklr	按量
*akls	阿喀琉斯
#aklt	挨
*akly	按铃
*aklz	阿喀琉斯之踵
*akmh	按摩
*akmi	挨骂
*akmj	挨门
*akmq	按摩器
*akms	按摩室
*akmu	按摩器
*akmv	按脉
#akn	按
*aknk	按捺
#akns	按
*aknt	按年
*akny	按钮
*akpk	挨批
*akqf	按期
*akrj	按人
*akrm	按入
*akrr	按日
*aksi	阿肯色州
*aksl	按说
*aksr	按时
*akss	阿克苏市
*aksx	阿克塞哈萨克族自治县
*aksx	碍口识羞
*aksy	按上
*aksz	阿肯色州
*aktg	按天
*akto	按图
*aktx	阿克陶县
*akuf	按期
*akwo	按蚊
#akx	拗
*akxf	按下
*akxh	按需
*akxi	按响
#akxn	拗
#akxz	拗
*akya	按压
*akyl	按语
*akyq	按要求
*akyu	按要求
*akyv	按月
*akza	按在
*akzf	挨整
*akzh	按章
*akzj	按住
*akzk	挨揍
*akzm	挨着
*akzn	挨宰
*akzq	按质
*akzr	按照
#al	谙
#al	袄
*albb	阿里巴巴
*albd	阿拉伯半岛
*albg	阿拉伯联合酋长国
*albh	阿拉伯海
*albi	阿拉伯数字
*albj	阿拉伯国家
*albl	爱理不理
*albr	阿拉伯人
*albs	奥林巴斯
*alby	阿拉伯语
*albz	阿拉伯数字
*ales	阿拉尔市
*alfc	按劳付酬
*alfp	按劳分配
*alft	阿拉法特
*alfx	案例分析
#alh	谙
*alhg	安理会常任理事国
#alhr	谙
*alhs	安老怀少
*aljx	案例教学
*alkq	阿鲁科尔沁旗
*almt	阿拉木图
*alnh	奥里诺科河
*alnk	奥里诺科
*alny	奥里诺科平原
*alph	奥林匹克运动会
*alpk	奥林匹克
*alps	奥林匹斯
*alpy	奥林匹亚
*alqc	按劳取酬
*alsd	阿拉斯加半岛
*alsd	阿留申群岛
*alsh	谙熟
*alsj	阿拉斯加
*alsk	阿拉山口
*alsm	阿拉善盟
*alsq	阿拉善右旗
*alsq	阿拉善左旗
*alss	阿拉山口市
#alt	袄
#altk	袄
*alts	阿勒泰市
*aluc	按劳取酬
*alxl	谙习
#am	爱
#ama	爱
*amag	阿猫阿狗
*amah	挨门挨户
#amal	爱
*ambj	阿米巴痢疾
*amcf	爱才
*amci	爱吃
*amco	爱财
*amcs	爱车
*amct	爱称
*amcx	爱巢
*amdb	爱丁堡
*amdd	爱豆
*amdf	爱戴
*amdh	爱德华
*amdr	爱的
amds	哀莫大于心死
*amds	爱迪生
*amdt	爱打听
*ameh	阿穆尔河
*amel	爱尔兰
*amfk	爱抚
*amfs	爱妃
*amgf	爱过
*amgi	爱国者
*amgo	爱国
*amgs	安民告示
*amgx	爱国心
*amgz	爱国者
*amhd	爱河
*amhe	爱花
*amhh	爱荷华
*amhi	爱好者
*amhk	爱护
*amhm	爱火
*amhn	爱恨
*amhs	爱好
*amhz	爱好者
*amib	爱滋病
*amid	爱滋
*amig	爱祖国
*amih	挨门逐户
*amii	爱美之心人皆有之
*amij	爱做
*amim	爱着
*amin	爱憎
*amit	受灾体
*amiv	爱子
*amix	爱美之心
*amjc	爱机
*amjh	爱将
*amjl	爱军
*amjn	爱家
*amjs	爱姬
*amki	爱哭
*amkk	爱看
*amkr	奥密克戎
*amld	鞍马劳顿
*amlf	爱聊
*amlh	爱恋
*amlj	爱侣
*amll	爱郎
*amln	爱怜
*amls	爱丽丝
*amlw	爱乐
*amlx	爱立信
*ammb	爱民
*amme	爱慕
*ammg	爱玛
*ammi	爱面子
*ammm	爱美
*ammq	爱民区
*amms	爱默生
*ammu	爱民区
*ammz	爱面子
*amn	爱闹
*amni	爱莫能助
amnj	爱闹
*amnj	爱你
*amns	爱女
*amnw	爱鸟
*amnz	爱莫能助
*ampk	爱拼
*amps	爱普生
*amqa	爱犬
*amqh	爱琴海
*amqn	爱情
*amqp	爱情片
*amqs	爱妻
*amqu	爱去
*amqw	爱卿
*amqy	爱奇艺
*amqy	爱钱
*amri	爱民如子
*amrj	爱人
*amrm	爱人民
*amrn	爱热闹
*amrz	爱民如子
*amsd	阿姆斯特丹
*amsk	爱思考
*amsl	阿姆斯特朗
*amsl	爱神
*amss	爱啥啥
*amss	爱谁谁
*amsx	爱书
*amsy	爱上
*amtf	阿弥陀佛
*amti	爱听
*amtj	爱他
*amtk	爱徒
*amtq	澳门特别行政区
*amts	爱她
*amtu	澳门特别行政区
*amua	爱犬
*amuh	爱琴海
*amun	爱情
*amup	爱情片
*amus	爱妻
*amuu	爱去
*amuw	爱卿
*amuy	爱奇艺
*amuy	爱钱
*amwg	爱玩
*amwj	爱问
*amwl	傲慢无礼
*amwq	奥妙无穷
*amwt	爱我
*amwu	奥妙无穷
*amxl	阿莫西林
*amxl	爱心
*amxn	爱惜
*amxr	爱慕虚荣
*amxt	爱笑
*amxx	爱乡
*amyh	爱意
*amyj	傲慢与偏见
*amym	爱欲
*amyo	爱婴
*amys	爱与
*amyw	爱用
*amyx	爱幼
*amzb	爱滋病
*amzd	爱滋
*amzg	爱祖国
*amzh	挨门逐户
*amzj	爱做
*amzm	爱着
*amzn	爱憎
*amzt	受灾体
*amzv	爱子
*amzx	爱美之心
*amzz	爱美之心人皆有之
#an	安
#an	案
*anbc	案板
*anbg	安邦
*anbh	安瓿
*anbi	按捺不住
*anbj	安保
*anbz	按捺不住
#anc	案
#ancc	案
*anck	安插
*and	安东尼
*and	案底
*anda	安达
*ande	安道尔
*andh	安度
andh	案底
*andk	安打
andk	安得
*andl	安大略
*andn	安定
*andn	安东尼
*ando	安迪
*andq	安定区
*andr	案牍
*ands	安达市
*ands	安德森
*ands	安顿
*andu	安定区
*andw	安多
*andx	安达信
*andx	安多县
*anfh	安放
*anfk	安抚
*anfl	安福
*anfm	安分
*anfn	案发
*anfv	安防
*anfw	案犯
*anfx	安福县
*anfz	案发
*angg	安规
*angl	安哥拉
*ango	安国
*angs	安国市
*anh	安徽省
*anhg	安魂
*anhj	安化
*anhk	安徽
*anhn	懊悔
*anhq	安魂曲
*anhr	安徽人
anhs	安好
*anhs	安徽省
*anhu	安魂曲
*anhx	安化县
*ania	安在
*anib	安装包
*anic	安枕
*anid	安泽
*anie	安葬
*anih	安装
*anij	安坐
*anio	安置
*anip	安装盘
*anit	安知
*aniv	案子
*anix	安泽县
*aniy	安卓
*anjb	安居
*anjc	安检
*anjf	安家费
*anjg	安静
*anjj	案件
*anjm	案卷
*anjn	安家
*anju	安吉
*anju	安监
*anjw	案几
*anjx	安吉县
*ankd	阿那克西曼德
*ankf	安可
*ankh	安康
ankl	阿那克萨哥拉
*ankl	安卡拉
*anks	安康市
*anl	安乐窝
*anl	安禄山
*anla	安龙
*anld	安澜
*anlh	安理会
*anlj	案例
*anlk	安拉
*anls	安乐死
*anls	安陆市
*anls	安禄山
*anlt	安利
*anlv	安陆
*anlw	安乐
*anlw	安乐窝
*anlx	安龙县
*anly	安乐椅
*anmb	安民
*anml	安谧
*anmo	安眠
*anmr	安曼
*anmy	安眠药
*ann	安妮
*ann	安宁
*annf	安南
*annl	安能
annn	安宁
*annn	懊恼
*anno	安内
*annq	安宁区
*anns	安娜
anns	安妮
*anns	安宁市
*annu	安宁区
*anpb	安排表
*anpd	安普敦
*anph	安平
*anpj	安培计
*anpk	安排
*anpm	安贫
*anpu	安培
*anpx	安排下
*anpx	安平县
*anq	安全感
*anq	安全局
*anq	安全区
*anqb	安全部
*anqd	安全带
*anqe	安琪儿
*anqf	安全阀
*anqg	安琪
*anqg	安全感
*anqh	安庆
*anqj	安全
*anqj	安全局
*anqm	安全帽
*anqn	案情
*anqq	安全期
*anqq	安全区
*anqr	安丘
*anqs	安庆市
*anqs	安丘市
*anqt	安全套
*anqx	安全性
#anr	懊
#anra	懊
*anrj	安仁
*anrv	安然
*anrw	安内攘外
*anrw	安然
*anrx	安仁县
#ans	安
*ans	安设
*ans	安顺
*ansf	懊丧
ansl	安设
*ansl	安神
*ansm	案首
*ansn	安塞
*anso	安睡
*ansr	安身
ansr	安顺
anss	安
*anss	安顺市
anst	安生
*anst	安适
*ansx	安塞县
*ansy	安上
*antg	安泰
*anti	安踏
*antn	案头
*anto	安图
*ants	安徒生
*antv	安胎
*antx	安图县
*anty	安纳托利亚高原
*anty	安胎药
*anu	安全感
*anu	安全局
*anub	安全部
*anud	安全带
*anue	安琪儿
*anuf	安全阀
*anug	安琪
*anug	安全感
*anuh	安庆
*anuj	安全
*anuj	安全局
*anum	安全帽
*anun	案情
*anur	安丘
*anus	安庆市
*anus	安丘市
*anut	安全套
*anuu	安全期
*anuu	安全区
*anux	安全性
*anwb	安慰
*anwf	安卧
*anwh	安委会
*anwj	安慰剂
*anwt	安稳
*anww	安危
*anww	傲睨万物
*anwx	安慰性
*anx	安歇
*anx	安心
*anxd	安溪
*anxf	安西
*anxh	安享
*anxh	安新
*anxj	安闲
*anxl	安祥
anxl	安心
*anxo	安县
*anxr	安息
anxr	安歇
*anxx	安息香
*anxx	安溪县
*anxx	安乡
*anxx	安乡县
*anxx	安新县
*anyd	安源
*anye	安营
*anyg	安于
*anyg	安远
*anym	安义
*anyo	案由
*anyq	安源区
*anyr	安岳
*anys	安阳市
*anyu	安源区
*anyv	安阳
*anyw	安逸
*anyx	安阳县
*anyx	安义县
*anyx	安远县
*anyx	安岳县
*anza	安在
*anzb	安装包
*anzc	安枕
*anzd	安泽
*anze	安葬
*anzh	安装
*anzj	安坐
*anzo	安置
*anzp	安装盘
*anzt	安知
*anzv	案子
*anzx	安泽县
*anzy	安卓
#ao	岸
#ao	黯
#ao	凹
#aoa	岸
#aoag	岸
*aobn	岸边
*aobr	凹版
*aobz	岸边
*aocc	凹槽
*aocw	凹处
#aod	凹
*aodd	黯淡
aodd	凹
*aodu	凹地
*aofv	岸防
*aogl	盎格鲁
*aogm	岸谷
#aoh	黯
*aohh	凹痕
#aohr	黯
*aojf	岸基
*aojg	凹进
*aojy	凹镜
*aoku	凹坑
*aoma	凹面
*aomj	凹面镜
#aoo	盎
#aood	盎
*aopm	岸炮
*aor	盎然
*aorm	凹入
*aorv	黯然
aorv	盎然
*aorw	黯然
aorw	盎然
*aosb	盎司
*aosf	盎斯
*aosy	岸上
*aotd	岸滩
*aotj	凹透镜
*aoty	凹凸
*aoxc	凹陷处
*aoxf	凹下
*aoxg	凹形
*aoxv	凹陷
*aoyw	凹印
*apld	安贫乐道
#app	app
*aqbx	哀其不幸
*aqcx	安全出行
*aqfk	按期付款
*aqgh	按期归还
*aqiy	安全座椅
*aqjg	爱情价更高
*aqjs	安全驾驶
*aqmh	鞍前马后
*aqms	阿奇霉素
*aqwc	按期完成
*aqzy	安全座椅
#ar	暗
#ar	昂
*ara	皑皑
#ara	奥
#arak	奥
arar	皑皑
arar	暧暧
*arar	暗暗
*arbh	暗部
*arbj	暗堡
*arbl	暗补
*arbm	奥巴马
*arcc	暗沉沉
*arcd	暗潮
*arce	暗藏
*arch	暗疮
*arcn	暗忖
*arcs	暗娼
*arcw	暗处
*ardd	暗淡
*ardl	奥地利
*ardm	暗道
*ardn	暗斗
*ardo	奥迪
*ards	奥德赛
*ardu	暗地
*ardy	暗点
*arel	奥尔良
*arf	暗房
*arf	暗讽
arfl	暗房
*arfl	暗访
arfl	暗讽
*argc	暗杠
*argc	暗格
*argd	暗沟
*argo	昂贵
#arh	暗
*arh	暗合
*arha	暗灰
*arhd	暗河
*arhe	暗花
*arhf	暗黄
*arhi	暗号
*arhj	暗含
arhj	暗合
*arhl	暗话
*arhn	暗害
*arho	暗黑
#arhr	暗
*arhs	暗红色
*arhx	暗红
*aria	澳人治澳
*arib	爱如珍宝
*arik	暗指
*ario	暗中
*arir	暗自
*ariw	奥组委
*ariy	暗紫
*arja	暗礁
*arji	暗叫
*arjt	暗箭
*arkg	暗亏
*arkk	暗扣
*arkm	奥卡姆
#arl	翱
*arlc	奥林
*arld	暗流
*arle	奥莱
*arlh	暗恋
#arll	翱
*arlo	暗里
*arlx	暗绿
*arlx	黯然泪下
#arm	暧
*arm	暗码
*arm	奥姆
arma	暧
*arma	暗码
*armi	暗骂
*armj	暗门
*armr	暧昧
*arms	奥妙
arms	奥姆
*armt	奥秘
*arne	奥尼尔
#aro	皑
#arob	皑
*arps	安如磐石
*arqi	暗器
*arqt	昂起头
*arqu	昂起
*arqx	黯然泣下
*arrb	暗弱
*arrj	昂仁
*arrv	昂然
*arrw	昂然
*arrx	昂仁县
*ars	昂首
*ars	奥赛
*ars	奥数
*arsd	暗沙
*arsf	暗事
*arsg	暗示
*arsi	暗哨
*arsj	暗伤
*arsk	奥斯卡
arsl	昂然耸立
*arsl	奥斯陆
*arsm	暗杀
*arsm	昂首
arsm	奥数
*arsm	奥斯曼
*arsn	暗室
arsn	奥赛
*arsr	暗射
*arss	黯然神伤
*arss	黯然失色
*arst	暗算
*arsw	暗色
*arsy	暗锁
*art	奥拓
*artd	暗滩
*arti	暗叹
*artj	奥陶纪
*artk	暗探
artk	奥拓
*artm	奥特曼
*artn	昂头
*arts	安如泰山
*arui	暗器
*arut	昂起头
*aruu	昂起
*arux	黯然泣下
#arw	昂
*arwe	奥威尔
*arwh	奥委会
*arwi	暗物质
*arws	安然无事
#arwv	昂
*arwy	安然无恙
*arwz	暗物质
*arx	暗笑
*arxc	暗想
*arxh	黯然销魂
*arxl	暗许
*arxm	翱翔
*arxt	暗箱
arxt	暗笑
*arxu	暗喜
*arxw	奥匈
*arxx	暗线
*aryc	奥运村
*aryd	矮人一等
*aryd	暗涌
*aryg	奥运
*aryh	奥运会
*aryi	暗喻
*aryk	昂扬
*aryl	暗语
*aryl	傲然屹立
*arym	奥义
*aryr	暗影
*aryv	暗月
*arza	澳人治澳
*arzb	爱如珍宝
*arzk	暗指
*arzo	暗中
*arzr	暗自
*arzw	奥组委
*arzy	暗紫
#as	嫒
#as	媪
*asaj	碍手碍脚
*asbj	阿塞拜疆
*asbn	安神补脑
*asdf	1.2.3.4.
*asdi	安神定志
*asdj	安神定惊
*asdz	安神定志
*asey	埃塞俄比亚
*ashe	艾森豪威尔
*ashl	阿斯哈图石林
*asht	阿斯哈图
*asic	安身之处
*asid	安身之地
*asil	安史之乱
*asjm	爱斯基摩
*asjr	爱斯基摩人
*askb	昂首阔步
*aslm	安身立命
#asm	嫒
#asma	嫒
*asny	爱沙尼亚
*aspl	阿司匹林
*asqb	暗送秋波
*asqx	傲视群雄
#asr	媪
#asro	媪
*assb	爱啥啥吧
*astq	唉声叹气
*astu	唉声叹气
*astx	昂首挺胸
*asub	暗送秋波
*asux	傲视群雄
*aswx	奥斯威辛
*aswx	奥斯维辛
*aszc	安身之处
*aszd	安身之地
*aszl	安史之乱
#at	矮
#at	氨
*atat	矮矮
*atbe	氨苄
*atbj	矮半截
*atbp	凹凸不平
*atcj	氨茶碱
*atdf	騃童钝夫
*atdl	矮凳
*atdr	矮的
*atge	矮个儿
*atgi	矮个子
*atgj	矮个
*atgz	矮个子
*athj	矮化
*atiq	安土重迁
*atiu	安土重迁
*ativ	矮子
*atix	奥体中心
*atjf	氨基
*atjs	氨基酸
*atkq	暗通款曲
*atku	暗通款曲
*atls	阿特拉斯山
*atlx	氨纶
#atn	氨
#atns	氨
#ato	岙
#atoi	岙
*atp	ATP
*atpv	矮胖
*atqt	氨气
*atqu	矮墙
*atrj	矮人
*atsc	矮树
*atsd	氨水
*atsf	氨酸
*atsj	按图索骥
*atss	阿图什市
#att	矮
attm	氨糖
#atts	矮
*attx	昂头挺胸
*atut	氨气
*atuu	矮墙
*atwp	安特卫普
*atxp	矮小
*atyf	矮靿
atyj	哀痛欲绝
*atyj	矮一截
*atzq	安土重迁
*atzu	安土重迁
*atzv	矮子
*atzx	奥体中心
#au	埃
#au	坳
#aua	埯
#auao	埯
*aubl	埃博拉
*aubx	哀其不幸
*aucx	安全出行
*aufd	埃弗顿
*aufe	埃菲尔
*aufk	按期付款
*augh	按期归还
*auiy	安全座椅
*aujg	爱情价更高
*aujs	安全驾驶
*aujw	埃及
#aul	埃
#ault	埃
*aume	埃米尔
*aumh	鞍前马后
*aums	阿奇霉素
#aun	垵
#auns	垵
*auwc	按期完成
#aux	坳
#auxd	毐
#auxn	坳
auxz	坳
*auzy	安全座椅
#av	阿
#av	隘
#ava	腌
#avao	腌
*avbj	阿伯
*avbl	阿波罗
*avbm	阿爸
*avbu	阿坝
*avbx	阿坝县
*avci	阿昌族
*avcu	阿城
*avcz	阿昌族
*avda	阿大
*avdd	阿豆
*avdf	阿道夫
*avdf	胺多酚
*avdn	阿斗
*avdt	胺碘酮
*avef	阿尔法
*aves	阿尔山
*avet	阿尔泰
#avf	阿
*avfh	阿富汗
#avfi	阿
*avfn	阿飞
*avft	阿凡提
*avfz	阿飞
*avgf	阿哥
*avgm	阿公
*avgt	阿根廷
#avh	肮
*avhq	阿合奇
*avhu	阿合奇
*avhw	阿訇
avhw	肮
*avi	腌臜
*aviv	肮脏
aviv	腌臜
*avjs	阿姐
*avk	阿肯色
*avki	隘口
*avks	阿克苏
*avks	阿肯色
*avkt	阿克陶
*avl	阿里山
*avl	阿留申
*avlb	阿拉伯
*avle	阿拉尔
*avlh	阿罗汉
*avlk	阿拉
*avlm	阿兰
*avlo	阿里
*avlq	阿联酋
